source_id,target_id,relationship
Facility-IMSB,TP ICAP UK MTF - CORPORATE BONDS AND SECURITIES DEBT,hasFormalName
Facility-DSME,Facility-XCSE,isPartOf
Facility-BOFS,BANK OF SCOTLAND PLC,rdf-schema#label
Facility-ASXB,ASX BOOKBUILD,rdf-schema#label
ServiceProvider-NAMIBIANSTOCKEXCHANGE,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-SLKK,ServiceProvider-L-213800OANOWGT2KW8O63,isManagedBy
MIC-LCUR,ActiveMICStatus,hasMarketIdentifierCodeStatus
MIC-BLIQ,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-ATFX,ATFX,hasTag
Facility-XISA,"PARIMUTUEL, ELETRONIC TRADING PLATFORM FOR DERIVATIVES.",core#note
MIC-RBCG,MICCodeScheme,isMemberOf
Facility-BTBS,Singapore,operatesInMunicipality
Facility-BEUF,Netherlands,operatesInCountry
MIC-XOSL,OSLO BORS operating-level market identifier,rdf-schema#label
ServiceProvider-L-549300LSKJOBJ3IC5645,L-549300LSKJOBJ3IC5645,isPlayedBy
Facility-XDNB,DNB BANK ASA,rdf-schema#label
Facility-UKGD,ServiceProvider-MTSUK,isManagedBy
Facility-IBSI,INTERACTIVE BROKERS,rdf-schema#label
MIC-TRFW,MICCodeScheme,isMemberOf
MIC-PKOP,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-FNLT,MultilateralTradingFacility,22-rdf-syntax-ns#type
Facility-BEEX,Thailand,operatesInCountry
Facility-NEXS,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-GSSI,Facility-GSSI,identifies
Facility-ELIX,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
ServiceProvider-L-549300ZEB7CLQ2GVMG42,CryptoAssetServicesProvider,22-rdf-syntax-ns#type
Facility-VTEX,ServiceProvider-CONVERGEXEXECUTIONSOLUTIONSLLC,isManagedBy
MIC-ERBX,ActiveMICStatus,hasMarketIdentifierCodeStatus
MIC-DLIS,Facility-DLIS,identifies
MIC-ISWP,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-DAUK,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-CHIY,London,operatesInMunicipality
Facility-LMAF,exchange,hasWebsite
Facility-XSGO,SANTIAGO STOCK EXCHANGE,rdf-schema#label
Facility-XBSE,SPOT REGULATED MARKET - BVB,hasFormalName
ServiceProvider-L-213800U1RU4M15V1UA20,TRUMID FINANCIAL EU LIMITED as service provider,rdf-schema#label
MIC-FRAU,MICCodeScheme,isMemberOf
MIC-XGFI,ExpiredMICStatus,hasMarketIdentifierCodeStatus
ServiceProvider-L-PTCQB104N23FMNK2RZ28,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-TFSS,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
LegalEntity-FINRA,FINRA,rdf-schema#label
Facility-XSIB,SIBERIAN EXCHANGE,rdf-schema#label
Facility-CMEC,ServiceProvider-L-6SI7IOVECKBHVYBTB459,isManagedBy
Facility-RTSX,RussianFederation,operatesInCountry
Facility-MELO,New_York,operatesInMunicipality
Facility-XSSE,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-XKYO,Facility-XKYO,identifies
Facility-TFSD,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-OLBB,OLBB,hasTag
MIC-NOOB,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-GFSM,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-UBIS,UBIS,hasTag
MIC-MTUS,MICCodeScheme,isMemberOf
MIC-DOSE,Facility-DOSE,identifies
MIC-ESLO,Facility-ESLO,identifies
ServiceProvider-L-5493008QI0EFC5WBED75,L-5493008QI0EFC5WBED75,isPlayedBy
MIC-XVAL,MICCodeScheme,isMemberOf
Facility-CRYP,London,operatesInMunicipality
