source_id,target_id,relationship
GU,GU,rdf-schema#label
AE,AE,preferredDesignation
CA-NB,NB,preferredDesignation
Plaza,StreetSuffix,22-rdf-syntax-ns#type
Camp,owl#NamedIndividual,22-rdf-syntax-ns#type
Overpass,StreetSuffix,22-rdf-syntax-ns#type
Union,UN,commonDesignation
AS,AmericanSamoa,denotes
Gateway,GTWY,commonDesignation
Shoal,owl#NamedIndividual,22-rdf-syntax-ns#type
SK,RegionSpecificIdentifier,22-rdf-syntax-ns#type
HI,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Walks,WALK,preferredDesignation
Crossroads,StreetSuffix,22-rdf-syntax-ns#type
Spurs,SPURS,commonDesignation
Views,owl#NamedIndividual,22-rdf-syntax-ns#type
MN,Minnesota,denotes
NL,NL,rdf-schema#label
Mill,MILL,commonDesignation
DE,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Causeway,owl#NamedIndividual,22-rdf-syntax-ns#type
LA,LA,rdf-schema#label
Street,owl#NamedIndividual,22-rdf-syntax-ns#type
Ridge,RDGE,commonDesignation
Stravenue,STRAVEN,commonDesignation
Manors,manors,rdf-schema#label
Union,UNION,commonDesignation
QC,RegionSpecificIdentifier,22-rdf-syntax-ns#type
NH,UnitedStatesOfAmerica,isUsedBy
Green,GRN,commonDesignation
Curve,CURVE,commonDesignation
Brooks,StreetSuffix,22-rdf-syntax-ns#type
Estates,owl#NamedIndividual,22-rdf-syntax-ns#type
Pines,PNES,preferredDesignation
Tunnel,TUNNELS,commonDesignation
Arcade,StreetSuffix,22-rdf-syntax-ns#type
NV,Nevada,identifies
Annex,ANX,commonDesignation
Mills,MILLS,commonDesignation
Terrace,TER,commonDesignation
CA-ON,ON,preferredDesignation
Causeway,causeway,rdf-schema#label
Circle,circle,rdf-schema#label
SK,owl#NamedIndividual,22-rdf-syntax-ns#type
Divide,DV,preferredDesignation
Mountain,MNTN,commonDesignation
ND,ND,rdf-schema#label
SC,US-specific code for the designation for South Carolina,core#definition
Junctions,junctions,rdf-schema#label
NC,NC,hasTag
CA-NU,NU,preferredDesignation
Way,StreetSuffix,22-rdf-syntax-ns#type
Club,CLUB,commonDesignation
QC,owl#NamedIndividual,22-rdf-syntax-ns#type
NJ,RegionSpecificIdentifier,22-rdf-syntax-ns#type
MT,UnitedStatesOfAmerica,isUsedBy
Lock,LCK,commonDesignation
Divide,StreetSuffix,22-rdf-syntax-ns#type
UT,owl#NamedIndividual,22-rdf-syntax-ns#type
Cape,cape,rdf-schema#label
Highway,HIWY,commonDesignation
BC,BC,hasTag
WV,UnitedStatesOfAmerica,isUsedBy
Avenue,AVENUE,commonDesignation
Commons,owl#NamedIndividual,22-rdf-syntax-ns#type
CA,CA,rdf-schema#label
PA,owl#NamedIndividual,22-rdf-syntax-ns#type
VT,Vermont,identifies
AZ,AZ,rdf-schema#label
Track,TRACK,commonDesignation
Neck,NCK,commonDesignation
KS,KS,preferredDesignation
Arcade,ARCADE,commonDesignation
Pines,PINES,commonDesignation
AR,AR,preferredDesignation
Commons,StreetSuffix,22-rdf-syntax-ns#type
Meadow,MEADOW,commonDesignation
Roads,ROADS,commonDesignation
US-NJ,NJ,preferredDesignation
Hollow,HOLW,commonDesignation
NJ,owl#NamedIndividual,22-rdf-syntax-ns#type
UM,UM,hasTag
Run,RUN,preferredDesignation
Harbor,HRBOR,commonDesignation
ME,ME,preferredDesignation
US-WI,WI,preferredDesignation
Expressway,EXP,commonDesignation
Ford,FORD,commonDesignation
Island,island,rdf-schema#label
Way,WY,commonDesignation
Lakes,LAKES,commonDesignation
NS,owl#NamedIndividual,22-rdf-syntax-ns#type
Beach,BCH,commonDesignation
Islands,owl#NamedIndividual,22-rdf-syntax-ns#type
Squares,SQUARES,commonDesignation
MD,owl#NamedIndividual,22-rdf-syntax-ns#type
Parks,parks,rdf-schema#label
Mill,mill,rdf-schema#label
KY,owl#NamedIndividual,22-rdf-syntax-ns#type
View,view,rdf-schema#label
PR,owl#NamedIndividual,22-rdf-syntax-ns#type
Roads,owl#NamedIndividual,22-rdf-syntax-ns#type
Fort,StreetSuffix,22-rdf-syntax-ns#type
Islands,StreetSuffix,22-rdf-syntax-ns#type
Route,owl#NamedIndividual,22-rdf-syntax-ns#type
Wall,owl#NamedIndividual,22-rdf-syntax-ns#type
Key,owl#NamedIndividual,22-rdf-syntax-ns#type
CA-NS,owl#NamedIndividual,22-rdf-syntax-ns#type
Coves,StreetSuffix,22-rdf-syntax-ns#type
Oval,OVAL,preferredDesignation
Roads,StreetSuffix,22-rdf-syntax-ns#type
Hill,HILL,commonDesignation
Branch,division of a road or path,core#definition
Hills,HLS,commonDesignation
Parkway,PKWY,commonDesignation
DC,owl#NamedIndividual,22-rdf-syntax-ns#type
QC,Canadian and US-specific code for the designation for Quebec,core#definition
Bypass,BYP,commonDesignation
US-FL,FL,preferredDesignation
Bridge,StreetSuffix,22-rdf-syntax-ns#type
NJ,NJ,rdf-schema#label
NE,Nebraska,identifies
Spring,SPRING,commonDesignation
Loaf,loaf,rdf-schema#label
Parkways,StreetSuffix,22-rdf-syntax-ns#type
US-ND,owl#NamedIndividual,22-rdf-syntax-ns#type
Ridges,StreetSuffix,22-rdf-syntax-ns#type
US-AA,AA,preferredDesignation
OR,OR,rdf-schema#label
MT,Montana,identifies
Annex,owl#NamedIndividual,22-rdf-syntax-ns#type
US-IL,owl#NamedIndividual,22-rdf-syntax-ns#type
Knolls,owl#NamedIndividual,22-rdf-syntax-ns#type
GU,Guam,identifies
Annex,StreetSuffix,22-rdf-syntax-ns#type
US-MO,owl#NamedIndividual,22-rdf-syntax-ns#type
CT,CT,hasTag
Ridge,owl#NamedIndividual,22-rdf-syntax-ns#type
DC,DC,rdf-schema#label
Park,PRK,commonDesignation
NB,NewBrunswick,denotes
GU,UnitedStatesOfAmerica,isUsedBy
Shore,SHORE,commonDesignation
Vista,vista,rdf-schema#label
Bluff,StreetSuffix,22-rdf-syntax-ns#type
US-AP,subdivision code for the state designation for Armed Forces Pacific,core#definition
Boulevard,BLVD,preferredDesignation
SD,US-specific code for the designation for South Dakota,core#definition
CO,UnitedStatesOfAmerica,isUsedBy
View,owl#NamedIndividual,22-rdf-syntax-ns#type
US-AK,owl#NamedIndividual,22-rdf-syntax-ns#type
Mountains,MTNS,preferredDesignation
Viaduct,owl#NamedIndividual,22-rdf-syntax-ns#type
AE,AE,rdf-schema#label
AZ,UnitedStatesOfAmerica,isUsedBy
View,StreetSuffix,22-rdf-syntax-ns#type
Bluff,"broad, rounded cliff",core#definition
Terrace,terrace,rdf-schema#label
Pines,pines,rdf-schema#label
CA-NL,owl#NamedIndividual,22-rdf-syntax-ns#type
Place,PL,commonDesignation
MN,UnitedStatesOfAmerica,isUsedBy
US-AE,owl#NamedIndividual,22-rdf-syntax-ns#type
Path,path,rdf-schema#label
Forks,forks,rdf-schema#label
AA,RegionSpecificIdentifier,22-rdf-syntax-ns#type
AS,owl#NamedIndividual,22-rdf-syntax-ns#type
Garden,GRDN,commonDesignation
Ramp,RAMP,preferredDesignation
Way,WAY,preferredDesignation
NY,NewYork,denotes
Flat,FLT,commonDesignation
Crest,CREST,commonDesignation
FL,Florida,denotes
CA-QC,QC,preferredDesignation
Square,SQU,commonDesignation
CA-ON,owl#NamedIndividual,22-rdf-syntax-ns#type
Ferry,FERRY,commonDesignation
Parkway,StreetSuffix,22-rdf-syntax-ns#type
Island,IS,commonDesignation
Loop,LOOPS,commonDesignation
SD,SouthDakota,denotes
NE,UnitedStatesOfAmerica,isUsedBy
Views,VWS,commonDesignation
Vista,VIS,preferredDesignation
WY,Wyoming,denotes
WI,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Camp,CP,commonDesignation
Knoll,KNL,preferredDesignation
US-IA,owl#NamedIndividual,22-rdf-syntax-ns#type
Trail,owl#NamedIndividual,22-rdf-syntax-ns#type
Commons,CMNS,preferredDesignation
RI,RI,preferredDesignation
Landing,LANDING,commonDesignation
Key,KEY,commonDesignation
MA,Massachusetts,denotes
Harbors,harbors,rdf-schema#label
Cove,StreetSuffix,22-rdf-syntax-ns#type
AZ,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Points,owl#NamedIndividual,22-rdf-syntax-ns#type
Keys,keys,rdf-schema#label
Road,RD,commonDesignation
US-AZ,AZ,preferredDesignation
Landing,LNDG,commonDesignation
BC,BritishColumbia,denotes
US-DE,owl#NamedIndividual,22-rdf-syntax-ns#type
Mount,MT,preferredDesignation
Ford,FRD,commonDesignation
OK,OK,hasTag
Mills,owl#NamedIndividual,22-rdf-syntax-ns#type
PE,PrinceEdwardIsland,identifies
VI,VI,preferredDesignation
Bayou,BAYOU,commonDesignation
Bottom,BOT,commonDesignation
Extensions,EXTS,commonDesignation
Keys,KEYS,commonDesignation
Islands,ISLANDS,commonDesignation
Fort,FT,preferredDesignation
VT,US-specific code for the designation for Vermont,core#definition
Run,owl#NamedIndividual,22-rdf-syntax-ns#type
Hollow,HOLLOWS,commonDesignation
AS,AS,preferredDesignation
WV,WestVirginia,denotes
Trafficway,trafficway,rdf-schema#label
Mills,StreetSuffix,22-rdf-syntax-ns#type
Ville,ville,rdf-schema#label
Terrace,TERR,commonDesignation
Point,point,rdf-schema#label
Isle,isle,rdf-schema#label
Rue,rue,rdf-schema#label
Hollow,HLLW,commonDesignation
AL,owl#NamedIndividual,22-rdf-syntax-ns#type
River,RIVR,commonDesignation
Points,POINTS,commonDesignation
Junction,StreetSuffix,22-rdf-syntax-ns#type
CA,California,denotes
Stream,stream,rdf-schema#label
Orchard,ORCHARD,commonDesignation
NM,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Valleys,owl#NamedIndividual,22-rdf-syntax-ns#type
Ranch,RNCH,preferredDesignation
US-AP,ArmedForcesPacific,identifies
Path,StreetSuffix,22-rdf-syntax-ns#type
AL,US-specific code for the designation for Alabama,core#definition
Cliffs,StreetSuffix,22-rdf-syntax-ns#type
Road,owl#NamedIndividual,22-rdf-syntax-ns#type
Drives,DRS,preferredDesignation
Ford,owl#NamedIndividual,22-rdf-syntax-ns#type
HI,owl#NamedIndividual,22-rdf-syntax-ns#type
Pike,PIKE,commonDesignation
BC,BC,rdf-schema#label
Haven,haven,rdf-schema#label
TX,owl#NamedIndividual,22-rdf-syntax-ns#type
SK,Canada,isUsedBy
AP,ArmedForcesPacific,denotes
Fields,owl#NamedIndividual,22-rdf-syntax-ns#type
DE,owl#NamedIndividual,22-rdf-syntax-ns#type
Viaduct,VDCT,commonDesignation
Bypass,BYPA,commonDesignation
Expressway,expressway,rdf-schema#label
Pike,PIKES,commonDesignation
Valley,valley,rdf-schema#label
GA,GA,hasTag
Inlet,inlet,rdf-schema#label
ME,ME,rdf-schema#label
Corners,CORS,preferredDesignation
Bypass,road passing around a town or its center to provide an alternative route for through traffic,core#definition
Mountain,MNTAIN,commonDesignation
CA-PE,PE,preferredDesignation
AB,AB,preferredDesignation
Glen,owl#NamedIndividual,22-rdf-syntax-ns#type
Rest,rest,rdf-schema#label
Motorway,motorway,rdf-schema#label
AB,RegionSpecificIdentifier,22-rdf-syntax-ns#type
US-WA,owl#NamedIndividual,22-rdf-syntax-ns#type
Spur,StreetSuffix,22-rdf-syntax-ns#type
Ways,ways,rdf-schema#label
MI,MI,preferredDesignation
Common,common,rdf-schema#label
NM,US-specific code for the designation for New Mexico,core#definition
ArmedForcesPacific,owl#NamedIndividual,22-rdf-syntax-ns#type
Harbor,HARBR,commonDesignation
Street,STR,commonDesignation
Springs,owl#NamedIndividual,22-rdf-syntax-ns#type
