source_id,target_id,relationship
hasDealtCurrency,specifies a unit of currency representing the exchanged (target) currency in an exchange rate; R units of this currency represent one unit of the base currency,core#definition
N9dc9db809c64484da9cd8f598cdedb01,owl#Restriction,22-rdf-syntax-ns#type
Nd40d2015c66841618f0ae01cf80b9911,owl#Restriction,22-rdf-syntax-ns#type
Nac02e91c7c044b7eada78fd3cdea7d5e,hasAmount,owl#onProperty
,Currency Amount Ontology,rdf-schema#label
isPriceFor,Price,rdf-schema#domain
Nb38b16bab4f54d3bb63ec67dcc18aad4,hasNumericCode,owl#onProperty
N63a68fb7d87840a9b183de9d0730041f,1,owl#qualifiedCardinality
CalculatedPrice,MonetaryPrice,rdf-schema#subClassOf
hasNotionalAmount,hasMonetaryAmount,rdf-schema#subPropertyOf
hasNumericCode,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasBaseCurrency,Currency,rdf-schema#range
N2cc6349fd1c74d28928f923c270cf653,hasRateValue,owl#onProperty
InterestRate,interest rate,rdf-schema#label
hasFundsType,owl#DatatypeProperty,22-rdf-syntax-ns#type
N2cc6349fd1c74d28928f923c270cf653,XMLSchema#decimal,owl#onDataRange
N0377312d8afb4d2fbce2ac3a2259e4ad,owl#Restriction,22-rdf-syntax-ns#type
CurrencyBasket,N18ddc86e30e8436e8ff234342645b25d,rdf-schema#subClassOf
Nd40d2015c66841618f0ae01cf80b9911,identifies,owl#onProperty
hasAmount,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasMinorUnit,XMLSchema#string,rdf-schema#range
hasMonetaryAmount,specifies a value for something in terms of an amount of money and the currency in which it is denoted,core#definition
Currency,Nb38b16bab4f54d3bb63ec67dcc18aad4,rdf-schema#subClassOf
PreciousMetalIdentifier,owl#Class,22-rdf-syntax-ns#type
N2b8763db49684f5ea3f5c8ba208ffd31,hasCurrency,owl#onProperty
N9dc9db809c64484da9cd8f598cdedb01,hasMinorUnit,owl#onProperty
N40f37daf30c84288955d7df530d158f6,1,owl#qualifiedCardinality
N2cc6349fd1c74d28928f923c270cf653,owl#Restriction,22-rdf-syntax-ns#type
UnitPrice,"For example, gold is commonly measured in troy ounces, grams, etc., and oil is measured in terms of barrels.",core#example
N90a66745a3654654a027b029208fb0c9,hasNumericCode,owl#onProperty
Nae40975c641d4b1095cd6f75e0d99198,UnitOfAccount,owl#someValuesFrom
CurrencyIdentifier,currency identifier,rdf-schema#label
Nac02e91c7c044b7eada78fd3cdea7d5e,XMLSchema#decimal,owl#onDataRange
PercentageMonetaryAmount,owl#Class,22-rdf-syntax-ns#type
hasRateValue,owl#DatatypeProperty,22-rdf-syntax-ns#type
hasNotionalAmount,"has a generally unchangeable value used for certain calculations, expressed as some monetary amount",core#definition
,MIT,license
N9dc9db809c64484da9cd8f598cdedb01,XMLSchema#string,owl#onDataRange
UnitOfAccountIdentifier,Nae40975c641d4b1095cd6f75e0d99198,rdf-schema#subClassOf
UnitPrice,owl#Class,22-rdf-syntax-ns#type
hasMinorUnit,relates a code for the minor unit of currency to the currency or fund,core#definition
InterestRate,"amount charged, expressed as a percentage of principal, in exchange for the use of assets",core#definition
hasNumericCode,XMLSchema#string,rdf-schema#range
N19cda6d6e2df4907b398de576b53f89b,owl#Restriction,22-rdf-syntax-ns#type
AmountOfMoney,N3a416bd6586f41ed8c804f99742d3801,rdf-schema#subClassOf
UnitOfAccountIdentifier,Nc1dae753eb4e446b8aeecec4559e446f,rdf-schema#subClassOf
hasPrice,has price,rdf-schema#label
N554ae10c5f2846cb8acd300fe2e179a5,owl#Restriction,22-rdf-syntax-ns#type
hasFundsType,hasTextValue,rdf-schema#subPropertyOf
, version of this ontology was modified to correct the explanatory note on currency identifier.,core#changeNote
AmountOfMoney,amount of money,rdf-schema#label
hasMinorUnit,owl#DatatypeProperty,22-rdf-syntax-ns#type
InterestRate,PercentageMonetaryAmount,rdf-schema#subClassOf
CurrencyBasket,owl#Class,22-rdf-syntax-ns#type
hasBaseCurrency,owl#InverseFunctionalProperty,22-rdf-syntax-ns#type
,"CurrencyAmount.rdf) version of this ontology was modified per FIBO 2.0 RFC, including the addition of a new hasMonetaryAmount property as a superproperty of others required by various FIBO domain teams and integration with LCC.",core#changeNote
PreciousMetalIdentifier,Identifier,rdf-schema#subClassOf
CurrencyBasket,StructuredCollection,rdf-schema#subClassOf
hasMonetaryAmount,MonetaryAmount,rdf-schema#range
Funds,N2b8763db49684f5ea3f5c8ba208ffd31,rdf-schema#subClassOf
FundsIdentifier,owl#Class,22-rdf-syntax-ns#type
N13c39a8568ef4c0e88f219bfd9f6c497,1,owl#qualifiedCardinality
FundsIdentifier,Identifier,rdf-schema#subClassOf
CurrencyIdentifier,CodeElement,rdf-schema#subClassOf
N0377312d8afb4d2fbce2ac3a2259e4ad,hasTextualName,owl#onProperty
PercentageMonetaryAmount,percentage monetary amount,rdf-schema#label
CurrencyIdentifier,N13c39a8568ef4c0e88f219bfd9f6c497,rdf-schema#subClassOf
PreciousMetal,precious metal,rdf-schema#label
N2cc6349fd1c74d28928f923c270cf653,1,owl#qualifiedCardinality
MonetaryAmount,Nfc43cab15b74430987f0a2f4c364cac9,rdf-schema#subClassOf
PercentageMonetaryAmount,Percentage,rdf-schema#subClassOf
,", including adding support for ISO 4217 currency codes.",core#changeNote
CurrencyBasket,"Codes for the representation of currencies and funds, ISO 4217, Eighth edition, 2015-08-01, section 3.2",definitionOrigin
N5f441c5eb9894be2a7cb8b556d225b0d,Expression,owl#onClass
hasFundsType,has funds type,rdf-schema#label
,,owl#imports
," version of this ontology was modified to replace a redundant concept, calculation formula with formula.",core#changeNote
N3a416bd6586f41ed8c804f99742d3801,owl#Restriction,22-rdf-syntax-ns#type
Currency,owl#Class,22-rdf-syntax-ns#type
N554ae10c5f2846cb8acd300fe2e179a5,identifies,owl#onProperty
hasAmount,hasNumericValue,rdf-schema#subPropertyOf
N19cda6d6e2df4907b398de576b53f89b,1,owl#qualifiedCardinality
hasFundsType,XMLSchema#string,rdf-schema#range
N554ae10c5f2846cb8acd300fe2e179a5,PreciousMetal,owl#someValuesFrom
N2b8763db49684f5ea3f5c8ba208ffd31,Currency,owl#onClass
hasCurrency,hasMeasurementUnit,rdf-schema#subPropertyOf
Nae3e143dd7854681af37cfaa7d7923c0,hasTag,owl#onProperty
hasMinorUnit,hasTextValue,rdf-schema#subPropertyOf
N18ddc86e30e8436e8ff234342645b25d,owl#Restriction,22-rdf-syntax-ns#type
hasDealtCurrency,Currency,rdf-schema#range
N63a68fb7d87840a9b183de9d0730041f,owl#Restriction,22-rdf-syntax-ns#type
,"CurrencyAmount.rdf version of this ontology was modified to tease out the distinction between the nominal and notional amount, which were confused (DER-127) and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).",core#changeNote
," version of this ontology was modified to eliminate duplication with concepts in LCC, dependencies on a couple of ontologies that were unnecessary, eliminate references to external dictionary sites that no longer resolve, clean up ambiguity in definitions, eliminate a redundant property, and add unit price.",core#changeNote
Currency,monetary unit,synonym
Nfeafd70ba98b42f8baff9ad1cd117a47,isUsedBy,owl#onProperty
Funds,Currency,rdf-schema#subClassOf
Nac02e91c7c044b7eada78fd3cdea7d5e,owl#Restriction,22-rdf-syntax-ns#type
N5cb93c40754e494aafb2b418f51e866c,owl#Restriction,22-rdf-syntax-ns#type
CurrencyBasket,A currency basket functions as a benchmark for regional currency movements; its composition and weighting depends on its purpose.,core#note
N21a65e19a8824a70860c0b7dfb94596d,Currency,owl#onClass
Nfc43cab15b74430987f0a2f4c364cac9,owl#Restriction,22-rdf-syntax-ns#type
hasBaseCurrency,has base currency,rdf-schema#label
hasFundsType,Funds,rdf-schema#domain
hasDealtCurrency,has dealt currency,rdf-schema#label
Nb38b16bab4f54d3bb63ec67dcc18aad4,XMLSchema#string,owl#someValuesFrom
hasNotionalAmount,"The notional amount (or notional principal amount or notional value) on a financial instrument is typically the face amount used to calculate payments made on that instrument. This amount generally does not change and is thus referred to as notional.
		
		When applied to a swap this is the amount used for calculating the actual value of the interest due. Also known as notional value when describing derivative contracts in the options, futures, and currency markets, this term is often used to value the underlying asset in a derivatives trade. It can be the total value of a position, how much value a position controls, or an agreed-upon amount in a contract.

		An example is that a firm might have a variable rate loan on $100,000 but decide to swap only $40,000. The $40,000 is the notional amount of the swap and becomes the amount on which interest is paid.",explanatoryNote
Nc1dae753eb4e446b8aeecec4559e446f,XMLSchema#string,owl#onDataRange
UnitOfAccount,"nominal monetary unit of measure used to represent the real value (or cost) of any economic item; i.e. goods, services, assets, liabilities, income, expenses",core#definition
PreciousMetal,owl#Class,22-rdf-syntax-ns#type
AmountOfMoney,ScalarQuantityValue,rdf-schema#subClassOf
InterestRate,N40f37daf30c84288955d7df530d158f6,rdf-schema#subClassOf
MonetaryAmount,ScalarQuantityValue,rdf-schema#subClassOf
Funds,funds,rdf-schema#label
N2412cfaed98b4cc2a97750590ca64951,owl#Restriction,22-rdf-syntax-ns#type
,"Copyright (c) 2013-2023 EDM Council, Inc.",copyright
, version of this ontology was modified to improve definitions for notional amount and currency identifier.,core#changeNote
Nac02e91c7c044b7eada78fd3cdea7d5e,1,owl#qualifiedCardinality
hasCurrency,"specifies the medium of exchange value in which something, such as a monetary amount is denominated",core#definition
N5cb93c40754e494aafb2b418f51e866c,1,owl#qualifiedCardinality
Funds,owl#Class,22-rdf-syntax-ns#type
UnitOfAccountIdentifier,CodeElement,rdf-schema#subClassOf
Nfc43cab15b74430987f0a2f4c364cac9,1,owl#qualifiedCardinality
UnitOfAccountIdentifier,sequence of characters that can be used to uniquely identify a nominal monetary unit,core#definition
ExchangeRate,N21a65e19a8824a70860c0b7dfb94596d,rdf-schema#subClassOf
MonetaryAmount,Nac02e91c7c044b7eada78fd3cdea7d5e,rdf-schema#subClassOf
hasCurrency,has currency,rdf-schema#label
hasMonetaryAmount,hasQuantityValue,rdf-schema#subPropertyOf
UnitOfAccount,owl#Class,22-rdf-syntax-ns#type
Price,ScalarQuantityValue,rdf-schema#subClassOf
CalculatedPrice,calculated price,rdf-schema#label
CurrencyBasket,"selected group of currencies, in which the weighted average is used as a measure of the value or the amount of an obligation",core#definition
N2956db9cb65e44fdbaf3c7842bc5e390,owl#Thing,owl#someValuesFrom
AmountOfMoney,amount of readily available cash in banknotes and coins,core#definition
, version of this ontology was modified to eliminate hygiene errors with respect to text formatting.,core#changeNote
PreciousMetal,N90a66745a3654654a027b029208fb0c9,rdf-schema#subClassOf
hasMonetaryAmount,owl#ObjectProperty,22-rdf-syntax-ns#type
PreciousMetalIdentifier,precious metal identifier,rdf-schema#label
Funds,artificial currency used as calculation basis for another currency(s) and accounting purposes,core#definition
hasPrice,indicates the value of something expressed as an amount of money or goods,core#definition
MonetaryAmount,measure that is an amount of money specified in monetary units,core#definition
Nd40d2015c66841618f0ae01cf80b9911,Funds,owl#someValuesFrom
Nae40975c641d4b1095cd6f75e0d99198,owl#Restriction,22-rdf-syntax-ns#type
