source_id,target_id,relationship
JurisdictionOfColombia,"jurisdiction of the judiciary of Colombia, which is the system of courts, including the Supreme Court which deals with penal and civil matters, the Council of State, which has special responsibility for administrative law and also provides legal advice to the executive, the Constitutional Court, responsible for assuring the integrity of the Colombian constitution, and the Superior Council of Judicature, responsible for auditing the judicial branch, that interprets and applies the law in Colombia",core#definition
BolivianEntity,Bolivian entity,rdf-schema#label
UruguayanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfBrazil,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfThePlurinationalStateOfBolivia,Government of the Plurinational State of Bolivia,rdf-schema#label
ChileanEntity,Chile,hasFullSovereigntyOver
JurisdictionOfArgentina,Jurisdiction,22-rdf-syntax-ns#type
ParaguayanEntity,Paraguay,hasFullSovereigntyOver
GovernmentOfTheBolivarianRepublicOfVenezuela,"federal dominant-party presidential constitutional republic, whose president is both head of state and head of government",core#definition
GovernmentOfTheOrientalRepublicOfUruguay,República Oriental del Uruguay,rdf-schema#label
JurisdictionOfParaguay,Jurisdiction,22-rdf-syntax-ns#type
JurisdictionOfSuriname,jurisdiction of Suriname,rdf-schema#label
SurinameseEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
BolivianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfColombia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheArgentineRepublic,federal presidential constitutional republic and representative democracy whose president is both head of state and head of government,core#definition
GovernmentOfTheRepublicOfChile,NationalGovernment,22-rdf-syntax-ns#type
ColombianEntity,Colombian entity,rdf-schema#label
BrazilianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfSuriname,NationalGovernment,22-rdf-syntax-ns#type
SurinameseEntity,Surinamese entity,rdf-schema#label
GovernmentOfTheRepublicOfChile,Government of the Republic of Chile,rdf-schema#label
JurisdictionOfArgentina,Argentina,hasReach
EcuadorianEntity,Ecuador,hasFullSovereigntyOver
JurisdictionOfGuyana,Jurisdiction,22-rdf-syntax-ns#type
ParaguayanEntity,"sovereign state and polity that is bordered by Argentina to the south and southwest, Brazil to the east and northeast, and Bolivia to the northwest",core#definition
ChileanEntity,Chilean entity,rdf-schema#label
GovernmentOfTheRepublicOfEcuador,owl#NamedIndividual,22-rdf-syntax-ns#type
GuyaneseEntity,"sovereign state and polity that is bordered by the Atlantic Ocean to the north, Brazil to the south and southwest, Venezuela to the west, and Suriname to the east",core#definition
JurisdictionOfColombia,Jurisdiction,22-rdf-syntax-ns#type
PeruvianEntity,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfPeru,Peru,governs
GovernmentOfTheFederativeRepublicOfBrazil,"democratic federative republic, with a presidential system, whose president is both head of state and head of government",core#definition
PeruvianEntity,Peruvian entity,rdf-schema#label
GovernmentOfTheRepublicOfChile,República de Chile,rdf-schema#label
GovernmentOfTheRepublicOfColombia,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
GovernmentOfTheRepublicOfChile,JurisdictionOfChile,hasJurisdiction
JurisdictionOfParaguay,jurisdiction of Paraguay,rdf-schema#label
JurisdictionOfParaguay,"jurisdiction of the judiciary of Paraguay, which is the system of courts, including tribunals and Courts of Civil Law and a nine-member Supreme Court of Justice, that interprets and applies the law in Paraguay",core#definition
